Reference,Cell Type,Glucose_media,Lactate_media,Glucose,G6P,F6P,F16BP,DHAP,GAP,BPG,ThreePG,TwoPG,ThreePG+TwoPG,PEP,Pyruvate,Lactate,ATP,ADP,AMP,Phosphate,NAD,NADH,NADP,NADPH,PGLn,PGA,Ru5P,R5P,X5P,S7P,E4P,CO2,Notes
Park et al. Nat Chem Biol. 2016 Jul;12(7):482-9,iBMK,,,,675.0,63.95,1500.0,1600.0,93.06,2.2,380.0,9.5,380.0,12.0,5900.0,,4700.0,570.0,42.0,5800.0,500.0,75.0,28.4,65.4,,16.5,3.478,18.74,19.73,11.946,6.798,5036,all concentrations are in uM. all [metabolite] except PGA are reported as cytosolic concentration. As such they are multiplied here by 0.66 to cancel the cytosolic fraction correction performed downstream in the model code
Xie et al. J Biol Chem. 2016 Apr 22;291(17):8987-106,4T1,10000.0,,1910.0,140.0,90.0,640.0,,,,,,,250.0,280.0,2000.0,,,,,,,,,,,,,,,,,
Xie et al. J Biol Chem. 2016 Apr 22;291(17):8987-107,HepG2,10000.0,,2520.0,220.0,150.0,570.0,,,,,,,210.0,200.0,6950.0,,,,,,,,,,,,,,,,,
Xie et al. J Biol Chem. 2016 Apr 22;291(17):8987-108,SGC7901,10000.0,,3090.0,220.0,140.0,550.0,,,,,,,200.0,270.0,3950.0000000000005,,,,,,,,,,,,,,,,,
Xie et al. J Biol Chem. 2016 Apr 22;291(17):8987-109,SMMC7721,10000.0,,3660.0,170.0,120.0,360.0,,,,,,,250.0,320.0,6860.0,,,,,,,,,,,,,,,,,
Xie et al. J Biol Chem. 2016 Apr 22;291(17):8987-110,HeLa,10000.0,,3000.0,180.0,160.0,460.0,,,,,,,160.0,210.0,6300.0,,,,,,,,,,,,,,,,,
Xie et al. J Biol Chem. 2016 Apr 22;291(17):8987-111,RKO,10000.0,,1620.0,180.0,140.0,480.0,,,,,,,150.0,180.0,5030.0,,,,,,,,,,,,,,,,,
Xie et al. J Biol Chem. 2016 Apr 22;291(17):8987-112,Bcap37,10000.0,,2930.0,200.0,170.0,580.0,,,,,,,230.0,230.0,5380.0,,,,,,,,,,,,,,,,,
Rost et al. Metabolites.2020 Feb 19;10(2):74,Hek293,25000.0,,,51.3,55.4,14.1,,,,,,79.6,4.78,707.0,35500.0,2460.0,810.0,153.0,,,,,,,13.1,,21.3,,24.2,,,
Rost et al. Metabolites.2020 Feb 19;10(2):74,HeLaS3,25000.0,,,127.0,124.0,158.0,,,,,,63.6,6.01,1370.0,33200.0,2220.0,751.0,140.0,,,,,,,84.7,,20.3,,118.0,,,
Rost et al. Metabolites.2020 Feb 19;10(2):74,NB4,11100.0,,,47.0,59.3,54.0,,,,,,81.19999999999999,4.46,228.0,15800.000000000002,822.0,317.0,99.0,,,,,,,11.6,,13.3,,8.27,,,
Rost et al. Metabolites.2020 Feb 19;10(2):74,MC/CAR,25000.0,,,42.5,49.8,18.4,,,,,,73.10000000000001,3.02,2390.0,20400.0,1370.0,595.0,185.0,,,,,,,4.63,,7.57,,5.26,,,
Choe et al. bioRxiv 2022.12.28.522046,HeLa,,,,81.48571106,71.56059596,,,92.85549325,,,,,,,,,,,,,,,,,,,,,,,,
