i_nadph,i_r5p,nadph_phi,r5p_phi,NADPHox_Vmax,R5Pase_Vmax,retcode,cycle_index,mode,V_G6PD_uM_min,V_PGLS_uM_min,V_PGD_uM_min,V_RPI_uM_min,V_RPE_uM_min,V_TKT_Rxn1_uM_min,V_TKT_Rxn2_uM_min,V_TA_uM_min,V_R5Pase_uM_min,V_NADPHox_uM_min,V_HK1_uM_min,V_GPI_uM_min,V_PFKP_uM_min,V_ALDO_uM_min,V_TPI_uM_min,V_GAPDH_uM_min,R5P_uM,S7P_uM,NADPH_uM,NADP_uM,Ru5P_uM,X5P_uM,E4P_uM,F6P_uM,GAP_uM,G6P_uM,Glucose_uM,F16BP_uM,DHAP_uM,PGLn_uM,PGA_uM,ATP_uM,atpase_frac
1,1,0.001,0.001,1.4237190082644631e-6,3.559297520661158e-7,Terminated,0.5014490161070717,cycle,39.1532022330731,39.153202063052504,39.150920141947886,26.06354840860104,13.087372850635896,6.543685041469595,6.5436892826644915,6.543686668988165,19.519867495857394,78.30412237492155,8768.948078281717,8729.794906614672,8742.882295161293,8742.883296968488,8742.883405910341,17492.310390991068,75.59369777293472,31.436404837178994,10.999294604949545,0.0007053950504914145,30.23880154425507,39.29735371311906,54.02396203429034,279.2304688962379,11.904938992009482,793.4559472647439,24855.610804306838,12023.899683555079,2645.600090199927,0.34908853327990347,4673.378971526169,870.015943683121,0.010000000000000002
2,1,0.001873817422860385,0.001,2.6677894829434595e-6,3.559297520661158e-7,Terminated,0.7338353777786667,cycle,73.36276218161296,73.36276231654293,73.364573693362,37.47257518246975,35.891997668905525,17.945999967136025,17.945996587610587,17.94599867918615,19.526571881182534,146.7273358750985,8774.987337343817,8701.624551410114,8737.516536867572,8737.515740506919,8737.515654902916,17492.977392870624,75.68109316948812,31.65886486055237,10.999033997707492,0.0009660022925465735,30.783542021671266,39.982572048135,54.31284507526197,282.5089689354527,12.030964539682044,801.320296423519,24855.511567351845,12282.640713709206,2673.606266676052,0.30552452086292387,4085.7748011493077,878.870152355131,0.010000000000000002
3,1,0.003511191734215131,0.001,4.998950413663146e-6,3.559297520661158e-7,Terminated,0.857942442474532,cycle,137.4687964256881,137.46879654259988,137.47036715221765,58.842445882712845,78.627920633538,39.31396138420376,39.313958398852215,39.313960267672115,19.528481456199028,274.9391635781084,8786.132865600694,8648.664049528037,8727.29196003888,8727.291268113679,8727.291194896265,17493.896422154812,75.45869529637653,31.896783804896476,10.998523706127635,0.0014762938723883446,31.65694760418707,41.07461378530952,54.58690842583571,287.1513646812385,12.211757564750839,812.3876966148777,24855.328425022162,12658.625662401086,2713.783192336037,0.24248832288032976,3233.8895508863584,891.623979957307,0.010000000000000002
4,1,0.006579332246575682,0.001,9.367120381137132e-6,3.559297520661158e-7,Terminated,0.9242744352094284,cycle,257.5902581573231,257.59025825396367,257.5915593089147,98.86796754159099,158.72359145901714,79.36179683705643,79.36179418481599,79.3617958963043,19.506167783512414,515.1818174666319,8806.609645780383,8549.019373279492,8707.742957316215,8707.742382711745,8707.742322903461,17494.846500494656,74.11822877119127,31.907127079102246,10.99751603690258,0.002483963097443304,32.94091484299988,42.66145490183848,54.453471124114635,292.1949051541018,12.416672456118404,824.210178387566,24854.991954894802,13091.396189400957,2759.32056879774,0.17060203084904926,2257.1353579470633,906.1856667434262,0.010000000000000002
5,1,0.012328467394420659,0.001,1.755227337220535e-5,3.559297520661158e-7,Terminated,0.9597653939799742,cycle,482.67083297414894,482.67083300673914,482.67127462691013,173.83714013880393,308.8341346164755,154.41706793021967,154.41706682287986,154.41706758528866,19.420070802072573,965.3421076014247,8844.346481818126,8361.675645817513,8670.509778850623,8670.50958323174,8670.509563138226,17495.436213489356,70.23103941396305,31.238230313225177,10.995548264363109,0.004451735636908484,34.824202293350154,44.952788438434176,53.18474401773605,295.8298248923949,12.589026491644104,832.2124398473093,24854.37187965535,13460.107660194939,2797.621934830685,0.11084615351005107,1431.1665553354653,918.6266908103228,0.010000000000000002
6,1,0.02310129700083159,0.001,3.288975565564677e-5,3.559297520661158e-7,Terminated,0.9787759152085482,cycle,904.4111502008011,904.4111502242762,904.411474475242,314.2673595762453,590.1441155528103,295.07205880155044,295.0720575385146,295.0720584835397,19.195298938196153,1808.8226246768074,8914.400451125794,8009.989302594785,8600.133419031303,8600.133274681217,8600.133260035285,17495.338592524306,62.02663048990054,29.334757477266074,10.99178202817936,0.00821797182063703,38.02447606784271,48.810051901719106,49.84418070431677,296.8938318960628,12.7037186693096,833.2729159353846,24853.220812570744,13706.014520869721,2823.109073541931,0.07401658044904681,890.3634931635272,927.2475526486405,0.010000000000000002
7,1,0.04328761281083059,0.001,6.16293971811718e-5,3.559297520661158e-7,Terminated,0.9890000817386825,cycle,1694.60897810836,1694.6089781187136,1694.6091283938983,577.2967518590305,1117.312377678371,558.6561900736268,558.6561890084637,558.6561898526223,18.640560244086906,3389.2181065031955,9044.994614311303,7350.385641723343,8467.69802250657,8467.697954961073,8467.697948182238,17494.05209234989,47.841386301389775,25.49137867683133,10.984660706822066,0.015339293177935665,44.61197521663303,56.76831914341818,43.17210435674471,294.8536452934428,12.772267704808415,825.60565097517,24851.07510190462,13849.374901014195,2838.341543130853,0.058207051274805174,589.9073340866595,932.9660457517591,0.010000000000000002
8,1,0.08111308307896872,0.001,0.00011548223819846235,3.559297520661158e-7,Terminated,0.994584653668864,cycle,3175.0602944256016,3175.0602944414695,3175.060549154078,1069.8162244874059,2105.244330741056,1052.62217037214,1052.6221678781744,1052.6221699892815,17.194051116553457,6350.120843583189,9288.491578347746,6113.431310548843,8218.675657936621,8218.675544655638,8218.67553346042,17489.97324633993,28.754721375431707,19.166408185388125,10.971243787423727,0.028756212576272967,60.63288112302677,76.27922907106478,32.066409604815895,288.59281015981855,12.810206662606197,805.8498294915319,24847.074708335465,13919.890996216722,2846.7708145357087,0.06050800941678258,454.6826844229536,936.9470247441791,0.010000000000000002
9,1,0.15199110829529336,0.001,0.00021639262996719168,3.559297520661158e-7,Terminated,0.9976533429388114,cycle,5948.322228788612,5948.322228781164,5948.32209172871,1992.0798057176048,3956.2422781865607,1978.12113397156,1978.1211345999113,1978.121133874371,13.958672360412383,11896.644320513984,9743.221525671368,3794.8992703839717,7751.141529317977,7751.141566576702,7751.141570070294,17480.40427131994,13.124968030011456,11.962070384064479,10.94593794596712,0.05406205403289363,102.97003852583366,127.9314811492459,18.88626399035598,275.4726349186193,12.820886780046635,767.0118798820223,24839.60520995526,13919.169781841483,2849.1409020215137,0.08271182570999741,440.9711002745826,939.0542065598861,0.010000000000000002
10,1,0.2848035868435802,0.001,0.0004054802802111039,3.559297520661158e-7,Terminated,0.9990774099429246,cycle,11141.919821817424,11141.919821803953,11141.919554666756,3720.8261127440946,7421.093412403032,3710.5466884478465,3710.5466883327476,3710.5466879333862,10.27942444433955,22283.839376475553,10600.103219483728,-541.8166612870211,6879.276693664528,6879.276759142462,6879.276764878934,17469.10021292637,6.463168483381539,7.360362694302324,10.897974956472726,0.10202504352727183,214.2095863219175,261.75628838445454,9.083924690534284,250.8197112233646,12.791577537749555,696.5343232782378,24825.53421582476,13810.221667230728,2842.6214580557526,0.1343563575331256,549.5100527943496,934.9748416745485,0.010000000000000002
