i_nadph,i_r5p,nadph_phi,r5p_phi,NADPHox_Vmax,R5Pase_Vmax,retcode,cycle_index,mode,V_G6PD_uM_min,V_PGLS_uM_min,V_PGD_uM_min,V_RPI_uM_min,V_RPE_uM_min,V_TKT_Rxn1_uM_min,V_TKT_Rxn2_uM_min,V_TA_uM_min,V_R5Pase_uM_min,V_NADPHox_uM_min,V_HK1_uM_min,V_GPI_uM_min,V_PFKP_uM_min,V_ALDO_uM_min,V_TPI_uM_min,V_GAPDH_uM_min,R5P_uM,S7P_uM,NADPH_uM,NADP_uM,Ru5P_uM,X5P_uM,E4P_uM,F6P_uM,GAP_uM,G6P_uM,Glucose_uM,F16BP_uM,DHAP_uM,PGLn_uM,PGA_uM,ATP_uM
1,1,0.001,0.001,1.4237190082644631e-6,3.559297520661158e-7,Terminated,0.46689393936295703,linear,39.15240499412463,39.15240494531573,39.151749979826846,26.965548867576857,12.18620367467239,6.093171306109497,6.0930357055041355,6.093034689796857,20.87238439088387,78.3041549738341,87586.88134223258,87547.7290162115,87559.91511926445,87559.91512037098,87559.91512871717,175125.92342144833,43.18663376598841,1351.886330146672,10.999348953738373,0.0006510462413398234,17.782510481680212,23.106181504148296,3.6086236646109433,1402.5853518002484,0.09301718070141192,3997.3452102125066,23584.049435733425,2.6388905914160827,20.74990096154447,0.2303643328539906,3082.481287773518,10243.140062499162
2,1,0.001873817422860385,0.001,2.6677894829434595e-6,3.559297520661158e-7,Terminated,0.7141101823764479,cycle,73.36340623844947,73.3634062605537,73.36370347306108,38.43710483859319,34.926596337536225,17.463247927335573,17.46334541743732,17.463346596330872,20.973850829752887,146.72710971164648,87588.56041155709,87515.19697926233,87550.12366030373,87550.12365779752,87550.12364551041,175117.71055000112,54.91905325257266,1113.8242233933238,10.99883278573202,0.0011672142470915048,22.811766224524508,29.622259098948227,5.721845697602167,1440.2740240118642,0.18400828817136788,4088.2847467656884,23584.022840587066,6.040885527139378,40.97400835299168,0.16919338728886482,2258.9515510062915,10267.172599927058
3,1,0.003511191734215131,0.001,4.998950413663146e-6,3.559297520661158e-7,Terminated,0.8468712259232548,cycle,137.46876953766997,137.46876955305652,137.4689772651544,59.85659316016454,77.61238227663023,38.806163992080585,38.80621589799604,38.806217111075355,21.050424153142018,274.93774680303073,87596.87036130692,87459.40158219668,87537.01401081489,87537.01400529449,87537.0139894286,175112.83415743266,68.93878561473929,898.0224876574432,10.997851115072326,0.0021488849069465008,29.180379405432998,37.857499198692,9.03931135692268,1460.9406562316674,0.3659881667185597,4136.4938875223015,23583.891217724402,17.196148178728382,81.4217079715204,0.1199214218833986,1591.5166858308037,10279.57708868553
4,1,0.006579332246575682,0.001,9.367120381137132e-6,3.559297520661158e-7,Terminated,0.9181253896917396,cycle,257.5877823890008,257.58778240890007,257.5880536666812,99.92260591910771,157.66544572486455,78.83270021909364,78.83274284737489,78.83274457030922,21.089899303268396,515.1758360563127,87615.65640590985,87358.06861883475,87515.7341033843,87515.73408956396,87515.73406348092,175110.30085144384,79.32124847838857,762.8698520086301,10.99600100019558,0.00399899978365882,35.00908663213797,45.34878364985124,12.340629645135646,1471.690214919961,0.5933449396729272,4159.313535348459,23583.59366388917,39.371030660942424,131.95507964605974,0.07967510048257587,1038.7475823855384,10285.57560489582
5,1,0.012328467394420659,0.001,1.755227337220535e-5,3.559297520661158e-7,Terminated,0.9562808242437906,cycle,482.6597832451538,482.659783256929,482.65994836049714,174.9543054227174,307.705642204544,153.85281334068688,153.8528278642531,153.8528289156618,21.101487894148832,965.319731606659,87652.54145516314,87169.88167416451,87477.58733103302,87477.58731977349,87477.58730344826,175109.02743542864,82.98111823887135,680.4835677075173,10.99252498877054,0.007475011208699976,39.862500172400516,51.49247002427002,14.54118515701405,1477.0215507031212,0.7889536739006305,4168.739291258796,23583.009445800944,65.86423933870958,175.43195640166576,0.05204679319937299,643.2961272386207,10288.418781187158
6,1,0.02310129700083159,0.001,3.288975565564677e-5,3.559297520661158e-7,Terminated,0.9766806520851611,cycle,904.3711143857379,904.3711143993454,904.3713213319994,315.5166779632441,588.8546443206772,294.4273251376093,294.42732027135395,294.427321705541,21.089344660491598,1808.7424357211305,87722.44503859182,86818.0739409947,87406.92858816421,87406.92857479898,87406.92855820921,175108.28445663207,79.15341460430038,615.7187817473917,10.986004920176072,0.013995079803164761,44.87384291940675,57.6863105739815,15.380488257897738,1479.357507741442,0.9290086683311536,4170.981437878627,23581.902278286623,89.08824608745148,206.5611477893119,0.03719722027522722,397.03520845468205,10289.86131294857
7,1,0.04328761281083059,0.001,6.16293971811718e-5,3.559297520661158e-7,Terminated,0.9875822842904285,cycle,1694.4673356783692,1694.4673356835738,1694.4674300774095,578.8501177529758,1115.6173174786222,557.8086906422029,557.8086334689203,557.8086350195908,21.041413653609073,3388.93476575918,87853.77511540371,86159.30778933589,87274.92506129213,87274.92506056835,87274.92505983234,175107.6588094567,66.93263751681512,541.3500522121032,10.973784501641399,0.026215498337810218,52.454645481135934,66.90231320439624,14.827755345682487,1479.7045845509117,1.0300092086255965,4167.8527831814745,23579.822304047277,108.04236267732581,229.0098213328749,0.033430074077741984,257.9705446487574,10290.711890580735
8,1,0.08111308307896872,0.001,0.00011548223819846235,3.559297520661158e-7,Terminated,0.9934161975495251,cycle,3174.562111875587,3174.562111873508,3174.5620697101585,1072.1210981844354,2102.4409613607254,1051.2204268557678,1051.220521237227,1051.2205183250653,20.90068981135116,6349.12418158379,88099.90599519968,84925.34395523525,87027.78501974289,87027.785030864,87027.78504273192,175106.79050336193,45.92656880020582,435.8519461780619,10.950888717117817,0.04911128286140731,68.08985071361211,85.8637395303757,12.622857424470466,1478.0576408858303,1.1112923224225626,4158.095006491446,23575.924482528102,124.6166484129924,247.07583542618778,0.04066066844700082,188.87246409814333,10291.313567440558
9,1,0.15199110829529336,0.001,0.00021639262996719168,3.559297520661158e-7,Terminated,0.9965643965789439,cycle,5946.572094309291,5946.572094308077,5946.572065903877,1995.8106877477915,3950.761363092957,1975.3806360627298,1975.380707671507,1975.380704406918,20.43006343076568,11893.144160211577,88560.56656113497,82613.9946508568,86564.75612806652,86564.75617482005,86564.75622233053,175104.89303672547,22.06961603715894,299.45926328188204,10.908005777098035,0.09199422288117699,107.3920569612294,133.56353067409742,8.669959909185597,1472.9709193694562,1.1618607671880237,4136.983126389876,23568.630478476127,135.44598284155867,258.31474511120797,0.06243976908926755,169.69078352044667,10291.66626223503
10,1,0.2848035868435802,0.001,0.0004054802802111039,3.559297520661158e-7,Terminated,0.9983030467575369,cycle,11135.780909493616,11135.780909493698,11135.780911326094,3724.524908245374,7411.256005108842,3705.6280072742206,3705.628000400185,3705.6280013063065,18.896899521724844,22271.56182081968,89421.6160511592,78285.83499309947,85697.0909416114,85697.09090229789,85697.09086008108,175099.80976854838,7.685249177722374,185.27411531669702,10.827728533275478,0.1722714667037399,215.19281273221125,263.0047390268474,4.435865012225292,1460.2407749392814,1.1003633541000433,4094.3979444922506,23555.000955097494,121.94094246993251,244.64485527785422,0.1080963199069011,198.72442603850183,10291.290297619453
11,1,0.533669923120631,0.001,0.000759796013685877,3.559297520661158e-7,Terminated,0.9992086431811772,cycle,20841.374443730565,20841.37444372531,20841.374332729178,6958.119980317316,13883.254220442326,6941.627016411323,6941.627046681321,6941.627046906739,16.49296377968609,41682.748776453525,91033.95553308076,70192.58073221448,84075.83469767665,84075.83466955031,84075.83462149912,175093.2963070266,3.3917131795665294,189.2181324051845,10.677607775158888,0.3223922248203337,571.7781446044735,679.313210607024,1.5734156135236606,1429.4449409557517,0.6826436786951922,4003.86681595167,23529.49385746143,50.10502347079383,151.79893460088712,0.20112079760997947,353.2796237705207,10287.203097195288
12,1,1.0,0.001,0.001423719008264463,3.559297520661158e-7,Terminated,NaN,undetermined,1.9464653662166772e-6,1.9464653965276826e-6,1.9464654336619543e-6,1.948370046929795e-6,-1.0125285822939698e-9,1.7807889846069426e-12,1.4540325933618327e-10,8.481172639235114e-14,1.950293295397139e-6,3.892930885651387e-6,1.946319706405058e-6,-1.4553353252152503e-10,1.780286449175284e-20,1.780286758932364e-20,6.969711637957817e-19,1.470992426421097e-10,1.032655539724568e-6,18799.443556739287,4.607361779060109e-11,10.999999999932896,4.786014000030415e-7,6.221826097762518e-7,1.7145078756657025e-5,2.441979964872846e-11,1.7942127795023247e-18,6.783120050104176e-11,24999.999999967884,1.262775817519848e-25,3.9871395160107343e-16,1.6281832798174415e-11,1.9947011853265132e-11,1.2914088088860661e-9
1,2,0.001,0.001873817422860385,1.4237190082644631e-6,6.669473707358649e-7,Terminated,0.0016076610406510526,linear,39.15242985104526,39.152429798512706,39.15172492046452,39.1102759293616,0.04145171665634274,0.02079717118526507,0.020658095101825234,0.020657022711807776,39.08948601492691,78.30415477138484,87629.37084118565,87590.2184956771,87590.25984572069,87590.25984689112,87590.25985573734,175180.54050091153,42.159835051102554,1335.7536389371132,10.999348616214753,0.0006513838136659309,17.915516522673993,23.29013374080684,3.5603455587375668,1401.6414378250197,0.09265553006674936,3995.123259720728,23583.3764413185,2.6289393357626936,20.669546291446263,0.23190591771779126,3103.138437596305,10242.94395166639
2,2,0.001873817422860385,0.001873817422860385,2.6677894829434595e-6,6.669473707358649e-7,Terminated,0.4644826549050241,linear,73.36341298349272,73.36341300457858,73.36369650115977,50.6461243975247,22.7175699352321,11.358738511140967,11.358828598613796,11.358829704938335,39.28738014802631,146.72710948478093,87631.260349274,87557.89691158471,87580.61455946602,87580.61455711456,87580.61454555481,175172.58784001897,53.86223877823421,1104.169570512022,10.99883258389934,0.0011674161298908978,22.941730986261486,29.802738925603656,5.655412209894197,1439.4906026559,0.18318580694755157,4086.302677326203,23583.346513573822,6.004838371068488,40.791228760109234,0.17010598225387344,2271.1802289828734,10267.072779553451
